id;posicion;id_alm;us_crea;date_crea
1;T01-D-A1;1;1;2017-07-03
2;T01-D-A2;1;1;2017-07-03
3;T01-D-A3;1;1;2017-07-03
4;T01-D-A4;1;1;2017-07-03
5;T01-D-A5;1;1;2017-07-03
6;T01-D-B1;1;1;2017-07-03
7;T01-D-B2;1;1;2017-07-03
8;T01-D-B3;1;1;2017-07-03
9;T01-D-B4;1;1;2017-07-03
10;T01-D-B5;1;1;2017-07-03
11;T01-D-C1;1;1;2017-07-03
12;T01-D-C2;1;1;2017-07-03
13;T01-D-C3;1;1;2017-07-03
14;T01-D-C4;1;1;2017-07-03
15;T01-D-C5;1;1;2017-07-03
16;T01-D-D1;1;1;2017-07-03
17;T01-D-D2;1;1;2017-07-03
18;T01-D-D3;1;1;2017-07-03
19;T01-D-D4;1;1;2017-07-03
20;T01-D-D5;1;1;2017-07-03
21;T02-I-A1;1;1;2017-07-03
22;T02-I-A2;1;1;2017-07-03
23;T02-I-A3;1;1;2017-07-03
24;T02-I-A4;1;1;2017-07-03
25;T02-I-A5;1;1;2017-07-03
26;T02-I-B1;1;1;2017-07-03
27;T02-I-B2;1;1;2017-07-03
28;T02-I-B3;1;1;2017-07-03
29;T02-I-B4;1;1;2017-07-03
30;T02-I-B5;1;1;2017-07-03
31;T02-I-C1;1;1;2017-07-03
32;T02-I-C2;1;1;2017-07-03
33;T02-I-C3;1;1;2017-07-03
34;T02-I-C4;1;1;2017-07-03
35;T02-I-C5;1;1;2017-07-03
36;T02-I-D1;1;1;2017-07-03
37;T02-I-D2;1;1;2017-07-03
38;T02-I-D3;1;1;2017-07-03
39;T02-I-D4;1;1;2017-07-03
40;T02-I-D5;1;1;2017-07-03
41;T02-D-A1;1;1;2017-07-03
42;T02-D-A2;1;1;2017-07-03
43;T02-D-A3;1;1;2017-07-03
44;T02-D-A4;1;1;2017-07-03
45;T02-D-A5;1;1;2017-07-03
46;T02-D-B1;1;1;2017-07-03
47;T02-D-B2;1;1;2017-07-03
48;T02-D-B3;1;1;2017-07-03
49;T02-D-B4;1;1;2017-07-03
50;T02-D-B5;1;1;2017-07-03
51;T02-D-C1;1;1;2017-07-03
52;T02-D-C2;1;1;2017-07-03
53;T02-D-C3;1;1;2017-07-03
54;T02-D-C4;1;1;2017-07-03
55;T02-D-C5;1;1;2017-07-03
56;T02-D-D1;1;1;2017-07-03
57;T02-D-D2;1;1;2017-07-03
58;T02-D-D3;1;1;2017-07-03
59;T02-D-D4;1;1;2017-07-03
60;T02-D-D5;1;1;2017-07-03
61;T03-I-A1;1;1;2017-07-03
62;T03-I-A2;1;1;2017-07-03
63;T03-I-A3;1;1;2017-07-03
64;T03-I-A4;1;1;2017-07-03
65;T03-I-A5;1;1;2017-07-03
66;T03-I-B1;1;1;2017-07-03
67;T03-I-B2;1;1;2017-07-03
68;T03-I-B3;1;1;2017-07-03
69;T03-I-B4;1;1;2017-07-03
70;T03-I-B5;1;1;2017-07-03
71;T03-I-C1;1;1;2017-07-03
72;T03-I-C2;1;1;2017-07-03
73;T03-I-C3;1;1;2017-07-03
74;T03-I-C4;1;1;2017-07-03
75;T03-I-C5;1;1;2017-07-03
76;T03-I-D1;1;1;2017-07-03
77;T03-I-D2;1;1;2017-07-03
78;T03-I-D3;1;1;2017-07-03
79;T03-I-D4;1;1;2017-07-03
80;T03-I-D5;1;1;2017-07-03
81;T03-D-A1;1;1;2017-07-03
82;T03-D-A2;1;1;2017-07-03
83;T03-D-A3;1;1;2017-07-03
84;T03-D-A4;1;1;2017-07-03
85;T03-D-A5;1;1;2017-07-03
86;T03-D-B1;1;1;2017-07-03
87;T03-D-B2;1;1;2017-07-03
88;T03-D-B3;1;1;2017-07-03
89;T03-D-B4;1;1;2017-07-03
90;T03-D-B5;1;1;2017-07-03
91;T03-D-C1;1;1;2017-07-03
92;T03-D-C2;1;1;2017-07-03
93;T03-D-C3;1;1;2017-07-03
94;T03-D-C4;1;1;2017-07-03
95;T03-D-C5;1;1;2017-07-03
96;T03-D-D1;1;1;2017-07-03
97;T03-D-D2;1;1;2017-07-03
98;T03-D-D3;1;1;2017-07-03
99;T03-D-D4;1;1;2017-07-03
100;T03-D-D5;1;1;2017-07-03
101;T04-I-A1;1;1;2017-07-03
102;T04-I-A2;1;1;2017-07-03
103;T04-I-A3;1;1;2017-07-03
104;T04-I-A4;1;1;2017-07-03
105;T04-I-A5;1;1;2017-07-03
106;T04-I-B1;1;1;2017-07-03
107;T04-I-B2;1;1;2017-07-03
108;T04-I-B3;1;1;2017-07-03
109;T04-I-B4;1;1;2017-07-03
110;T04-I-B5;1;1;2017-07-03
111;T04-I-C1;1;1;2017-07-03
112;T04-I-C2;1;1;2017-07-03
113;T04-I-C3;1;1;2017-07-03
114;T04-I-C4;1;1;2017-07-03
115;T04-I-C5;1;1;2017-07-03
116;T04-I-D1;1;1;2017-07-03
117;T04-I-D2;1;1;2017-07-03
118;T04-I-D3;1;1;2017-07-03
119;T04-I-D4;1;1;2017-07-03
120;T04-I-D5;1;1;2017-07-03
121;T04-D-A1;1;1;2017-07-03
122;T04-D-A2;1;1;2017-07-03
123;T04-D-A3;1;1;2017-07-03
124;T04-D-A4;1;1;2017-07-03
125;T04-D-A5;1;1;2017-07-03
126;T04-D-B1;1;1;2017-07-03
127;T04-D-B2;1;1;2017-07-03
128;T04-D-B3;1;1;2017-07-03
129;T04-D-B4;1;1;2017-07-03
130;T04-D-B5;1;1;2017-07-03
131;T04-D-C1;1;1;2017-07-03
132;T04-D-C2;1;1;2017-07-03
133;T04-D-C3;1;1;2017-07-03
134;T04-D-C4;1;1;2017-07-03
135;T04-D-C5;1;1;2017-07-03
136;T04-D-D1;1;1;2017-07-03
137;T04-D-D2;1;1;2017-07-03
138;T04-D-D3;1;1;2017-07-03
139;T04-D-D4;1;1;2017-07-03
140;T04-D-D5;1;1;2017-07-03
141;T05-I-A1;1;1;2017-07-03
142;T05-I-A2;1;1;2017-07-03
143;T05-I-A3;1;1;2017-07-03
144;T05-I-A4;1;1;2017-07-03
145;T05-I-A5;1;1;2017-07-03
146;T05-I-B1;1;1;2017-07-03
147;T05-I-B2;1;1;2017-07-03
148;T05-I-B3;1;1;2017-07-03
149;T05-I-B4;1;1;2017-07-03
150;T05-I-B5;1;1;2017-07-03
151;T05-I-C1;1;1;2017-07-03
152;T05-I-C2;1;1;2017-07-03
153;T05-I-C3;1;1;2017-07-03
154;T05-I-C4;1;1;2017-07-03
155;T05-I-C5;1;1;2017-07-03
156;T05-I-D1;1;1;2017-07-03
157;T05-I-D2;1;1;2017-07-03
158;T05-I-D3;1;1;2017-07-03
159;T05-I-D4;1;1;2017-07-03
160;T05-I-D5;1;1;2017-07-03
161;AC. P. Talleres;1;1;2017-07-03
162;AC-ALM2;1;1;2017-07-03
163;AC-ALM-MANT.;1;1;2017-07-03
164;ALM-AC;1;1;2017-07-03
165;Enclavamiento;1;1;2017-07-03
166;OF. ALM-MANT.;1;1;2017-07-03
167;T06-I-C1;1;1;2017-07-03
168;T06-I-C2;1;1;2017-07-03
169;T06-I-C3;1;1;2017-07-03
170;AC-ALM;1;1;2017-07-03
171;AC-ALM-MANT;1;1;2017-07-03
172;T00-0-00;1;1;2017-07-03
173;T01-D-AC;1;1;2017-07-03
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
