id_prod;cantidad
1334;2
1285;2
1316;2
1292;4
1294;10
1293;10
1367;300
1352;46
1337;10
1336;6
1338;43
1279;5
1353;5
1369;0
1370;41
1385;386
1384;60
1473;386
1314;50
1280;20
1282;4
1467;3
1464;4
1465;4
1220;4
1221;4
1432;4
1433;4
1470;4
1471;4
1412;3
1427;4
1408;4
1224;4
1228;4
1500;10
1501;13
1502;20
3452;12
1449;50
1270;4
1232;49
1233;24
1429;8
1363;0
1364;12
1356;4
1281;4
1350;12
1361;140
1360;207
1359;20
1335;2
1409;2
1333;20
1222;16
1405;7
1286;4
1400;4
1247;4
3456;7
1236;2
1401;4
1318;266
1317;0
1308;500
1298;476.5
1301;0
4179;70
1296;6
1300;50
1302;100
1392;1
4290;6
1244;1
1243;1
1245;1
1523;1
1441;1
1442;1
1345;1
1319;1
1402;1
1271;1
1272;1
4294;270
4295;266
1258;170
1257;154
1398;20
1254;20
4298;20
1482;159
1489;20
1490;20
4299;20
1517;378
4300;20
1399;20
1454;25
2941;100
1331;33
4180;96
1235;5
1311;25
1290;33
1291;5
3012;195
2728;222
4181;250
4183;246
4185;80
4186;92
4187;244
4188;100
1259;248
1260;100
4189;250
4190;249
4191;250
4192;100
4193;186
4194;84
4195;100
4196;200
1276;92
2921;100
2920;100
4197;194
4198;100
1483;148
4199;106
3020;100
3021;328
1514;72
1515;143
4200;100
1516;148
4863;80
1375;2850
2495;22
4202;5
1403;5
1312;0
1536;10
1371;0
1534;15
1372;48
1374;0
4203;98
1439;19
4205;25
4206;4
1239;5
1413;5
4207;5
1416;10
1419;10
1421;4
1423;5
1424;5
1425;5
1426;5
4208;5
4210;5
1328;5
4211;5
1329;3
1330;5
1320;5
4212;5
1321;5
1322;3
1323;5
3277;4
4213;50
1475;10
1459;100
4214;41
4215;14
4864;0
1284;50
1283;50
1498;150
1499;75
1237;17
4217;10
3364;1190
5044;2
5045;1
4851;4
4852;4
4853;4
4884;2
1004;10
1005;15
5107;5
5108;5
5109;5
5144;2
5110;3
5143;50
5145;0
5112;30
5113;0
5114;88
5115;117
5116;90
4997;0
1295;30
4233;0
1474;30
3388;200
3395;210
4540;200
4541;200
4542;190
4368;450
4369;450
3401;184
4545;400
4546;200
4547;200
2966;200
4548;197.5
4372;45
4373;45
4551;20
4552;20
4375;45
4554;22
4555;20
4556;20
4557;20
4558;20
4380;500
4379;500
4381;500
4382;70
4383;150
4385;75
4565;20
4566;25
4567;30
4568;10
4569;7
4570;35
4571;70
4574;13
4575;13
4394;8
4395;19
4396;20
4397;51
4398;90
4399;60
4400;60
4583;30
4402;60
4585;60
4403;60
4587;18
1921;1300
2019;300
2000;18
4167;18
4408;21
1999;21
2001;11
2026;1300
2020;1300
1944;75
1945;28
1960;300
3278;120
2006;18
2016;45
2024;45
2005;190
1982;210
1930;210
4417;5
4418;198.5
1937;30
4419;40
1971;24
4421;9
4422;10
2029;50
3220;50
1983;10
4605;154
4429;200
4611;30
2332;16
4451;15
4613;5
2331;16
4614;6
4450;15
4516;10
4617;6
4619;17
4620;5
4621;5
4622;5
4447;10
4624;5
2353;17
2348;6
4464;6
4463;2
2439;10
2342;15
2476;40
2344;37
4634;5
4448;15
4639;6
4640;5
2012;20
1951;9
1953;3
1952;2
1000;4
3370;400
3366;300
3367;730
2338;3
2435;4
4645;4
2433;3
2434;3
4646;1
4477;0
4478;2
4648;5
2327;12
2302;14
2429;3
2465;8
4649;18
2431;3
2411;4
4650;4
4651;3
4652;4
4653;6
4655;3
4656;3
4657;3
4658;3
4659;3
4660;4
4661;3
2305;4
2355;59
2306;6
4663;24
4664;23
4665;4
4667;3
4668;3
4670;3
2375;3
2374;3
4671;3
2381;3
2382;3
4675;21
4676;26
4518;9
2346;6
4679;8
2479;11
4681;3
4682;3
2362;3
2366;13
4686;3
2370;3
2341;5
4834;3
2372;1
4687;3
2399;4
2336;41
3235;2
2402;21
4690;0
3233;2
3239;9
4691;3
2401;3
2405;14
2424;3
2329;20
4692;21
4693;3
4694;3
4695;3
2421;6
2422;4
2423;5
2418;3
3242;2
2387;6
2335;17
2390;10
2392;14
2396;5
2397;3
4696;6
4496;8
2946;4
2442;9
2438;7
4479;11
4704;6
4705;2
4706;3
4480;6
4708;3
4709;4
4710;0
4366;250
4367;250
4370;250
3396;141
4371;250
4376;25
4377;25
4378;11
4389;10
4401;30
4404;30
4405;30
1970;6
2004;3
2003;3
4409;6
2021;94
2025;150
2023;24
2030;0
4432;7
4435;29
4436;3
4439;3
4443;3
4444;5
2352;4
4445;5
2307;5
4446;5
4449;10
4351;8
4455;3
4456;3
4311;5
4459;6
4460;25
2461;6
2976;3
4360;5
4466;12
2343;11
4306;20
2443;7
4330;3
4333;6
4332;6
4331;6
4473;4
4340;4
4342;6
4307;16
4647;1
2334;3
4481;5
4482;5
4483;5
4484;0
2361;5
4485;5
4486;5
4487;5
4488;5
4489;5
4490;5
4491;5
4492;5
4493;5
4494;5
4495;5
4497;20
4498;4
4500;15
4501;14
4502;14
4503;15
4504;5
4505;20
4506;5
4507;5
4508;5
4509;5
4510;5
4862;5
4511;6
4512;5
4513;5
2481;5
4514;6
4515;5
4517;5
4519;6
4521;8
4524;5
4525;5
4526;6
4527;5
4528;5
4529;5
4302;7
4309;7
1932;8
4535;5
4537;5
2444;1
4329;1
1934;4
2440;1
4305;7
4308;4
4314;3
4315;2
4950;4
4949;2
4317;6
2345;4
4320;2
4323;2
4326;2
2455;3
4336;2
4338;2
1213;1
4345;2
2464;0
2359;0
4349;2
4350;2
4352;2
4355;1
4357;2
2339;3
2340;1
4365;2
2463;11
1114;12
2456;4
5024;5
5029;4
5030;3
5031;0
5033;11
5034;5
5035;3
5036;4
5037;0
5038;2
5039;4
5040;4
5041;2
5042;3
5043;3
5050;3
5051;32
5052;3
5054;3
5055;3
5056;2
5057;3
5058;2
5059;2
5060;1
5061;1
5062;2
5063;1
5064;1
5065;1
5066;1
5067;1
5068;1
5069;2
5070;1
5071;20
5072;18
5073;97
5074;6
5075;0
5076;6
5077;6
5078;985
5079;985
5080;985
5081;1000
5082;1000
5083;0
5084;100
5085;3
5086;2
5087;3
5089;3
5090;1
5092;4
5093;3
5094;10
5095;0
5096;98
5097;20
5098;2
5099;2
5100;2
5101;2
5102;1
4354;2
5104;5
5105;2
5106;25
5015;7
4689;2
5178;1
5179;4
5180;5
5181;4
5182;1
5183;5
4714;3
4234;4
3044;12
4715;3
3029;5
4716;13
4717;8
3023;9
4718;8
3031;3
4719;26
4720;149
4240;9
3032;9
4728;30
3027;12
4729;4
4730;3
4731;10
2514;16
4732;6
3024;9
4733;8
4734;11
4242;240
2575;228
2576;142
4735;29
4736;25
4737;20
4738;10
4739;9
4740;9
4741;4
4742;26
4743;26
4744;13
4745;10
4746;4
4747;4
4748;6
4749;7
4750;16
4751;1
3033;7
4243;22
3034;17
3040;2
3041;3
3038;12
3036;2
3037;0
3035;6
3030;4
2672;3
4752;2
4244;15
2578;197
4754;100
4755;20
4245;2
4756;2
4757;20
3516;11
4758;8
4759;10
4760;3
4761;5
2671;3
4762;12
4763;10
4764;200
4765;100
4766;100
4767;5
4768;8
2719;1
4769;1
2718;3
3011;3
2723;3
3522;1
2720;1
4248;50
4249;50
4250;80
2603;7
2604;3
4770;4
4771;4
4772;8
4773;5
3026;6
4776;100
4778;2
2564;20
2563;19
4779;1
2599;30
4251;22
2615;580
4231;500
4780;7
4781;7
3043;1
4782;2
4784;1
4785;1
4786;396
3046;6
4279;2
4789;1
4792;3
4793;2
4794;2
3053;3
3054;14
3052;16
3051;5
3050;15
3028;15
3047;5
3048;16
3049;15
4798;8
2602;6
4252;140
4253;140
4254;140
4799;2
4800;2
4801;2
4802;2
4803;2
4804;2
4805;2
4806;2
4807;2
4808;2
4809;16
4255;8
2555;24
2484;12
2485;5
3443;5
3444;23
2538;34
2554;24
2553;24
4810;3
2486;1
2483;3
3463;1
3515;1
4811;4
4812;2
4813;2
4814;4
4815;4
4816;2
4817;2
4818;2
4819;3
4820;2
4821;4
4822;4
4825;2
4258;1
4259;1
4260;1
4261;1
4263;4
4828;2
4830;1
2582;1
4831;1
4832;0
4829;1
4386;176
1115;2
5028;7
1003;6
5117;16
5118;10
5119;2
4273;6
5120;4
5121;16
5122;2
5123;5
5124;3
5153;20
5154;40
5155;40
5156;40
5157;20
5158;19
5159;40
5160;20
5161;20
5162;20
5163;20
5164;38
5165;80
5166;36
5167;9
5168;38
5169;38
5170;38
5171;1
5172;2
5173;2
5174;4
5175;4
5176;4
5177;4
2436;4
4945;0
2337;10
5184;1
5187;2
5188;14
5189;10
5190;15
5191;1
5192;3
5193;4
5194;9
5195;10
5196;11
5197;5
5198;4
5199;4
5200;6
5201;1
5202;6
5204;0
5205;4
5206;4
5207;4
5208;4
5209;2
5210;26
5211;50
5212;15
5213;25
5214;20
5215;50
5216;100
5217;21
5218;21
5219;20
5220;2
5221;100
5222;1000
1297;50
1368;200
1428;20
1435;5
2748;5
2945;100
1394;10
1395;10
1383;10
1462;50
1396;10
4229;50
5223;5
5224;6
5225;24
5226;6
5227;6
5228;7
5229;4
5230;4
5231;3
5232;3
5233;3
5234;3
5235;3
5236;2
5237;5
5238;4
5239;13
5240;10
5241;4
5242;4
5243;4
5244;7
5245;8
5246;9
5247;1
5248;0
5249;0
5250;0
5251;4
5252;40
5253;1
5254;4
5255;6
5256;4
5257;2
5258;2
5259;3
5260;12
5261;3
5262;3
5263;13
5264;13
5265;3
5266;9
5267;3
5268;3
5269;2
5270;3
5271;8
5272;10
5273;0
5274;10
5275;3
5276;3
5277;6
5278;8
5279;6
5280;6
5281;6
5282;6
5283;10
5284;10
5285;10
5286;10
5287;3
5288;6
5289;3
5290;3
5291;3
5292;3
5293;10
5294;10
5295;3
5296;3
5297;3
5298;3
5299;3
5300;3
5301;3
5302;3
5303;3
5304;3
5305;3
5306;2
5307;2
5308;10
5309;10
5310;2
5311;2
5312;3
5313;3
5314;2
5315;2
5316;4
5317;5
5318;6
5319;1
5320;1
5134;18
2427;2
2428;1
4536;4
2319;10
2309;10
2315;0
1931;100
5321;10
5322;4
5323;4
5324;68
5325;0
5326;1
